index,comments,score
30,第1次收到这么糟糕的新手机，外快递包装完好，内包装居然是脏的，那个什么什么条码，居然不是贴好。感觉就跟个贴纸给我贴一样&hellip;&hellip;手机刚换机，现在正在试用,1
30,待机时间：耗电量特快，待机一上午要用50de电。买来不到一个月，这手机是自己装的吧,1
30,售后服务差，机器本身质量问题严重，麻烦相关部门打假,1
30,刚买的手机冲不上电，借了充电宝冲不上，去手机店也冲不上，,1
30,很抱歉，刚刚是我失误了，充电头不好，现在已经充上电了。,1
30,当时急着用，买完后来不用了，放了一段时间。今天用，发现耗电快，用的时候手机发烫，关键是才用了20分钟左右，就烫的不行，价格不合理。,1
30,发货速度是任何一个快递比不了的，就是现在的包装不太好，有些简陋，还有就是华为手机不带充电器，要单独购买是我不能接受的，价格是厂家定位的，你可以多要钱，为啥要客户单独购买呢？真是理解不了！,1
30,信心满满相信华为，用了几天就开始卡，白屏，客服说系统检测没问题，不能换货，大家都别买了，这个质量和售后都配不上这个价格。,1
31,手机指纹录入以后，不能解锁，不能免密输入！导致每次都要输入密码！现在还要返回公司检查&hellip;,1
31,1.买手机不配充电器不满意。\n2.不到一个月，手机通话有杂音，已联系售后之后再看看维修情况。\n3.电池不经用。,1
31,防水效果巨差无比，不小心掉洗脸盆拿上拿出来，送去维修，都没法使用，之前mate就不会这么弱不禁风,1
31,正常使用 忽然不识别电话卡 重启不管用 重新把手机卡取出又安上才可以 不知道后续还会不会出现这种状况,1
31,用了半个月，微信闪退3次\n只下了十来款应用还卡顿，每次***进去还模糊个几秒\n拍照效果也没那么好,1
31,还没用多久手机就开始卡了，指纹不灵敏，电源键有时候按了以后3-5秒才能亮屏，打王者有时候就只有30针,1
31,光手机一个，对了还有一个套。传说中的标配，没有充电器，没有耳机。买的伙伴慎重，如果想立即用新机。,1
31,玩个王者荣耀直接手动大返回到桌面后页面就卡住了，没法滑动到别的菜单页面去，点APP也没反应，每次都要重启手机后就可以滑动页面，正常点APP，这才买多久就这样，,1
31,只能说别买 发烫好快 一打王者荣耀就烫   充电一开始快 后面不快了 耗电快 一天要充电三次,1
31,外包装没有问题，开箱后手机这个角像磕了脏东西，联系客服，客服说看不出问题（看不见脏的地），用橡皮擦了半天能擦走，怀疑买到别人退的机子，因为手机坏了着急用就没退，但是心里有点不得劲。,1
32,用了半个多月，屏幕上就有一条红线，不能退，过了14天也不能换，只能拿去修，这才用多久，感觉有点像某个买宝马的，还没出店就开始讲三包,1
32,劝大家还是去实体买    手机看视频会卡顿延迟  触屏不灵敏   电池续航差 还有本来以为京东的包装会好点 毕竟是手机 运输途中肯定会有颠损    结果拿到手就一个小快递盒 防撞袋都是瘪气的 去实体店去实体店去实体店   中国人不骗中国人,1
32,反复看了看网店，确认是华为直营店。新收到的手机，应该是柜台展览机或者是样板机。手机送到时确实是密封好的，但是外放扩音器和充电插线孔满是灰尘。二是手机外延有磨损。三是充电插孔有使用痕迹，插孔有磨损。,1
32,打电话功能总是出现滞后和死机的情况。恢复出厂设置之后，手机页面app的变化更说明这个手机是被用过的。,1
32,电池中度使用，一天3充,1
32,機身發熱 充電慢 照片模糊，沒有八達通功能 沒有充電器提供，叫了退貨卻遲遲未有回覆，不要相信什麽免理由退貨！！,1
32,用了一个月，感觉不怎么行，手机偶尔会发烫，而且充满了电，只是上班玩一下，到下班几乎就没有电啦。感觉还没有之前1000多的手机好，真心感觉不值。,1
32,纯纯裸机，没快充头就算了，数据线也不配备。家里人换手机买的急没有过多问。华为国产想着支持，没想到自己还要重新配充电，耳机转接这些东西，麻烦自己。不建议买，各方面都一般，并没有多高性价比,1
32,用了两年的P30没有出过一点问题，新机拿到手机克隆刚好弄完。就黑屏了，用不了，拿去售后如果是换新机里面资料数据都会没有了。史上最差体验。,1
32,第一次遇到**式的商家：手机到了，竟然没有数据线，这是用空气充电，还是它自动充电？\n以前对华为手机比较有好感，仅有一点没啦！,1
33,第三次买华为的手机了，前两次都还好，手机很流畅，这次和预期的不太一样，明明是新手机，但是总感觉手机有点卡，切换软件/退出APP都不是很流畅，反应慢，如果这不是自营店，我都要以为我买的是假的了，下次换手机可能要考虑换个牌子了,1
33,刚买的新机，颜值还不错，完全不防水，雨天套了塑料袋放包里，还是不小心进了水，到官方维修店维修，说换屏就要1699，加上指纹识别元件和充电口有腐蚀，加起来这三处维修价格就超过整机了，我也是目瞪口呆了，客服说这手机就屏幕贵，其他不值钱。我还能说什么，华为自家的维修点说自家的芯片  主板 电池 相机都统统是不值钱的货，那就当买了块板砖呗。,1
33,家里5G网 为了支持华为，买个4G手机，买个手机充电器都不配。耳机就不说了。支持个寂寞。坑大家看清楚在买。,1
33,良心评价这款手机。外形外观，音效都很好。但是真的没有之前买的mate20pro好用。拍照效果也不是很好。有时候屏幕会卡，或者自行运行APP。对这款手机的评价四个字&ldquo;差强人意&rdquo;。,1
33,用了4天，手机充不上电了，先去了维修店说是线用的不对，买了一根线还是不行，线上约了退换，上门检测说手机电池坏了，只能用快充！换新需要4个工作日！,1
33,我记得买上部手机的时候，我看了苹果居然没充电器，还在嘲笑苹果的**行为，没想华为把这骚操作学到了！作为国产品牌的龙头，为什么不做点人性化的事情起到好的带头作用，尽学洋鬼子这些丧尽人道的事情呢！因为你买方便面没调料包吗？上厕所从不带纸吗？,1
33,手机刚收到还没用，暂不评价，买手机连耳机都没有我怎么充电？理由是拆开卖的，那你咋不把手机拆成好几个零件单独售卖呢？这样价格更低，文字游戏不是这么玩的,1
33,用了一天就后悔死了，这个机子感觉锂电池已经配不起它了必须得核电！4200的容量还没有我以前3700的耐用，随便看个新闻电量都蹭蹭的往下掉，都不敢随便开机了！当然畏寒怕冷的人可以买这款手机，别说玩游戏就是看个新闻都热情似火啊！至少可以当个暖宝宝用！但是物流还是快，毕竟能出一台是一台！,1
33,标配就只有一个手机，耳机没有，充电器没有，充电线也没有，还要单独买，没办法，怪自己没看清楚，认了,1
33,手机很好，手感也不错，就是下午去华为授权店买快充的时候，店员告诉我买手机送原装快充，而且旁边有个阿姐在买naov9真的送了快充，心情瞬间不美丽了！不建议直接在京东买，可以去授权店买，现货还有快充（或者礼品）送！一直很相信京东，以后也要多比较了！,1
34,连个充电线都没有 要不要这么搞 服啦 满分差评\n外形外观：盒子和手机一样 都挺薄 就是没东西 \n运行速度：一开始频繁发热卡顿 现在更新啦 好了很多 应该是和高通骁龙处理器有关 鸿蒙系统还不太适配 \n待机时间：挺好的\n拍照效果：垃圾一样 白瞎了这大摄像头 能不能软硬件优化做好点呀 成像真的弱爆了\n屏幕音效：屏幕国产的竟然还不错 扬声器虽然是单扬 但是声音挺大 音质音效就别指望了 听个响得啦,1
